1,5,F,市場,基本
2,4,F,改築,基本
3,4,F,鍛冶屋,基本
4,4,F,金貸し,基本
5,3,F,木こり,基本
6,5,F,議事堂,基本
7,4,F,玉座の間,基本
8,5,F,研究所,基本
9,5,F,鉱山,基本
10,3,F,工房,基本
11,3,F,宰相,基本
12,4,F,祝宴,基本
13,5,F,祝祭,基本
14,5,F,書庫,基本
15,2,F,地下貯蔵庫,基本
16,4,F,庭園,基本
17,4,F,泥棒,基本
18,6,F,冒険者,基本
19,2,F,堀,基本
20,5,F,魔女,基本
21,4,F,密偵,基本
22,4,F,民兵,基本
23,3,F,村,基本
24,4,F,役人,基本
25,2,F,礼拝堂,基本
26,3,F,大広間,陰謀
27,5,F,改良,陰謀
28,3,F,仮面舞踏会,陰謀
29,6,F,貴族,陰謀
30,4,F,共謀者,陰謀
31,5,F,交易場,陰謀
32,4,F,鉱山の村,陰謀
33,5,F,公爵,陰謀
34,5,F,拷問人,陰謀
35,3,F,詐欺師,陰謀
36,3,F,執事,陰謀
37,4,F,男爵,陰謀
38,5,F,寵臣,陰謀
39,4,F,偵察員,陰謀
40,2,F,手先,陰謀
41,4,F,鉄工所,陰謀
42,4,F,銅細工師,陰謀
43,2,F,中庭,陰謀
44,3,F,願いの井戸,陰謀
45,6,F,ハーレム,陰謀
46,5,F,破壊工作員,陰謀
47,4,F,橋,陰謀
48,2,F,秘密の部屋,陰謀
49,3,F,貧民街,陰謀
50,5,F,貢物,陰謀
51,4,F,海の妖婆,海辺
52,4,F,海賊船,海辺
53,3,F,漁村,海辺
54,4,F,巾着切り,海辺
55,2,F,原住民の村,海辺
56,4,F,航海士,海辺
57,5,F,策士,海辺
58,4,F,島,海辺
59,5,F,商船,海辺
60,2,F,真珠採り,海辺
61,5,F,前哨地,海辺
62,3,F,倉庫,海辺
63,3,F,大使,海辺
64,4,F,隊商,海辺
65,4,F,宝の地図,海辺
66,5,F,探検家,海辺
67,2,F,停泊所,海辺
68,2,F,灯台,海辺
69,5,F,バザー,海辺
70,4,F,引揚水夫,海辺
71,5,F,船着場,海辺
72,5,F,宝物庫,海辺
73,3,F,密輸人,海辺
74,3,F,見張り,海辺
75,5,F,幽霊船,海辺
76,2,F,抑留,海辺
77,4,F,石切り場,繁栄
78,6,F,大市場,繁栄
79,5,F,会計所,繁栄
80,6,F,隠し財産,繁栄
81,7,F,拡張,繁栄
82,4,F,記念碑,繁栄
83,7,F,宮廷,繁栄
84,8,F,行商人,繁栄
85,5,F,玉璽,繁栄
86,7,F,銀行,繁栄
87,5,F,禁制品,繁栄
88,3,F,交易路,繁栄
89,4,F,護符,繁栄
90,4,F,司教,繁栄
91,3,F,借金,繁栄
92,5,F,造幣所,繁栄
93,5,F,大衆,繁栄
94,7,F,鍛造,繁栄
95,5,F,投機,繁栄
96,5,F,都市,繁栄
97,6,F,ならず者,繁栄
98,3,F,望楼,繁栄
99,5,F,保管庫,繁栄
100,5,F,香具師,繁栄
101,4,F,労働者の村,繁栄
102,3,F,移動動物園,収穫祭
103,4,F,馬商人,収穫祭
104,3,F,占い師,収穫祭
105,4,F,再建,収穫祭
106,5,F,収穫,収穫祭
107,5,F,狩猟団,収穫祭
108,2,F,村落,収穫祭
109,5,F,道化師,収穫祭
110,4,F,農村,収穫祭
111,4,F,馬上槍試合,収穫祭
112,6,F,品評会,収穫祭
113,5,F,豊穣の角笛,収穫祭
114,4,F,魔女娘,収穫祭
115,3,F,オアシス,異郷
116,5,F,街道,異郷
117,3,F,開発,異郷
118,3,F,画策,異郷
119,5,F,官吏,異郷
120,4,F,義賊,異郷
121,5,F,厩舎,異郷
122,2,F,岐路,異郷
123,2,F,愚者の黄金,異郷
124,4,F,交易人,異郷
125,2,F,公爵夫人,異郷
126,4,F,香辛料商人,異郷
127,3,F,坑道,異郷
128,6,F,国境の村,異郷
129,4,F,シルクロード,異郷
130,3,F,神託,異郷
131,5,F,大使館,異郷
132,5,F,地図職人,異郷
133,5,F,値切り屋,異郷
134,6,F,農地,異郷
135,5,F,不正利得,異郷
136,5,F,辺境伯,異郷
137,5,F,埋蔵金,異郷
138,5,F,宿屋,異郷
139,4,F,遊牧民の野営地,異郷
140,4,F,よろずや,異郷
141,2,T,薬師,錬金術
142,3,T,賢者の石,錬金術
143,4,T,ゴーレム,錬金術
144,6,T,支配,錬金術
145,2,T,大学,錬金術
146,3,T,使い魔,錬金術
147,5,F,弟子,錬金術
148,2,T,念視の泉,錬金術
149,0,T,ブドウ園,錬金術
150,0,T,変成,錬金術
151,2,F,薬草商,錬金術
152,3,T,錬金術師,錬金術
153,3,F,青空市場,暗黒時代
154,3,F,隠遁者,暗黒時代
155,4,F,金物商,暗黒時代
156,6,F,狩場,暗黒時代
157,5,F,騎士,暗黒時代
158,5,F,偽造通貨,暗黒時代
159,1,F,救貧院,暗黒時代
160,5,F,狂信者,暗黒時代
161,4,F,吟遊詩人,暗黒時代
162,5,F,屑屋,暗黒時代
163,3,F,賢者,暗黒時代
164,4,F,行進,暗黒時代
165,4,F,ゴミあさり,暗黒時代
166,3,F,採集者,暗黒時代
167,6,F,祭壇,暗黒時代
168,5,F,山賊の宿営地,暗黒時代
169,4,F,死の荷車,暗黒時代
170,4,F,襲撃者,暗黒時代
171,2,F,従者,暗黒時代
172,4,F,城塞,暗黒時代
173,5,F,建て直し,暗黒時代
174,5,F,地下墓所,暗黒時代
175,5,F,盗賊,暗黒時代
176,4,F,ネズミ,暗黒時代
177,5,F,墓暴き,暗黒時代
178,5,F,伯爵,暗黒時代
179,5,F,はみだし者,暗黒時代
180,5,F,秘術者,暗黒時代
181,4,F,武器庫,暗黒時代
182,3,F,浮浪児,暗黒時代
183,2,F,浮浪者,暗黒時代
184,4,F,封土,暗黒時代
185,3,F,物置,暗黒時代
186,2,F,物乞い,暗黒時代
187,5,F,略奪,暗黒時代
188,2,F,石工,ギルド
189,3,F,医者,ギルド
190,5,F,熟練工,ギルド
191,5,F,商人ギルド,ギルド
192,4,F,助言者,ギルド
193,4,F,収税吏,ギルド
194,4,F,伝令官,ギルド
195,5,F,肉屋,ギルド
196,5,F,パン屋,ギルド
197,4,F,広場,ギルド
198,3,F,名品,ギルド
199,5,F,予言者,ギルド
200,2,F,蝋燭職人,ギルド
